,Game,Nash
461,"( ([[0.41078314, 0.15371273, 0.41701057],
       [0.53545732, 0.26499108, 0.13170846],
       [0.51016312, 0.98956578, 0.07068874]]),  ([[0.63540418, 0.44904887, 0.71377296],
       [0.30007277, 0.78251225, 0.336932  ],
       [0.54971889, 0.24510992, 0.98741277]]))","[( ([1., 0., 0.]),  ([0., 0., 1.]))]"
462,"( ([[0.09669543, 0.52314066, 0.72572686],
       [0.49888367, 0.76183969, 0.61847633],
       [0.74987624, 0.65901689, 0.68632602]]),  ([[0.79669611, 0.81196131, 0.76920906],
       [0.97936672, 0.87344313, 0.33456661],
       [0.86956692, 0.14793785, 0.97471005]]))","[( ([0.79275415, 0.        , 0.20724585]),  ([0.05688981, 0.        , 0.94311019]))]"
463,"( ([[0.3653131 , 0.16794382, 0.79709538],
       [0.66387718, 0.80081212, 0.21461111],
       [0.62988872, 0.52954293, 0.6959428 ]]),  ([[0.76240747, 0.11551496, 0.38762824],
       [0.64615655, 0.27461006, 0.98199868],
       [0.89554767, 0.82415959, 0.6280095 ]]))","[( ([0.        , 0.44339892, 0.55660108]),  ([0.934044, 0.      , 0.065956]))]"
464,"( ([[0.19423777, 0.845746  , 0.58471788],
       [0.93757766, 0.62608207, 0.72390005],
       [0.25076073, 0.44424768, 0.63326341]]),  ([[0.35437045, 0.89162434, 0.23699325],
       [0.36587396, 0.95882558, 0.07279961],
       [0.96312143, 0.03072997, 0.98736285]]))","[( ([1., 0., 0.]),  ([0., 1., 0.]))]"
465,"( ([[0.13968899, 0.06946608, 0.32515435],
       [0.54098545, 0.62062986, 0.02551803],
       [0.22157138, 0.88509452, 0.74138093]]),  ([[0.3386936 , 0.72726784, 0.25770789],
       [0.59324758, 0.95930425, 0.09211091],
       [0.81611038, 0.87674985, 0.10701468]]))","[( ([0., 0., 1.]),  ([0., 1., 0.]))]"
466,"( ([[0.47355977, 0.42169763, 0.00805033],
       [0.13136875, 0.81288681, 0.21223046],
       [0.52393694, 0.31261812, 0.74560995]]),  ([[0.582834  , 0.98810551, 0.19963352],
       [0.80414271, 0.64668859, 0.10070771],
       [0.21263046, 0.06251991, 0.64651077]]))","[( ([0., 0., 1.]),  ([0., 0., 1.])), ( ([0.2798062, 0.7201938, 0.       ]),  ([0.5334057, 0.4665943, 0.       ])), ( ([0.27273688, 0.18555298, 0.54171014]),  ([0.52580484, 0.4443874 , 0.02980776]))]"
467,"( ([[0.48131837, 0.35191692, 0.43798783],
       [0.44532266, 0.65547208, 0.98728687],
       [0.19243183, 0.19199759, 0.85375637]]),  ([[0.5002114 , 0.13646291, 0.12834171],
       [0.52039488, 0.53744483, 0.52621022],
       [0.69182668, 0.25847256, 0.91380986]]))","[( ([1., 0., 0.]),  ([1., 0., 0.])), ( ([0., 1., 0.]),  ([0., 1., 0.])), ( ([0.04477419, 0.95522581, 0.        ]),  ([0.89399023, 0.10600977, 0.        ]))]"
468,"( ([[0.22042932, 0.7586629 , 0.33267615],
       [0.51449176, 0.83071494, 0.22715547],
       [0.88958412, 0.20113931, 0.91362989]]),  ([[0.99610028, 0.96547654, 0.9628735 ],
       [0.88925958, 0.33400745, 0.08957899],
       [0.22457232, 0.38427861, 0.71606892]]))","[( ([0., 0., 1.]),  ([0., 0., 1.]))]"
469,"( ([[0.6513831 , 0.51168882, 0.63439936],
       [0.1964509 , 0.61164792, 0.3691199 ],
       [0.05675569, 0.98656841, 0.68533859]]),  ([[0.99683402, 0.21970554, 0.88380251],
       [0.42753015, 0.50523509, 0.79321397],
       [0.07019901, 0.28640153, 0.69922775]]))","[( ([1., 0., 0.]),  ([1., 0., 0.])), ( ([0., 0., 1.]),  ([0., 0., 1.])), ( ([0.84767881, 0.        , 0.15232119]),  ([ 0.07890623, -0.        ,  0.92109377]))]"
470,"( ([[0.50145475, 0.75769899, 0.7561009 ],
       [0.7504476 , 0.04811717, 0.99761023],
       [0.05883523, 0.74266422, 0.04497141]]),  ([[0.16709252, 0.78038561, 0.33368987],
       [0.14399025, 0.69406937, 0.78210012],
       [0.64155048, 0.81496678, 0.79168559]]))","[( ([1., 0., 0.]),  ([0., 1., 0.])), ( ([0., 1., 0.]),  ([0., 0., 1.])), ( ([0.16462761, 0.83537239, 0.        ]),  ([0.        , 0.25392869, 0.74607131]))]"
471,"( ([[0.12830882, 0.16626917, 0.38571045],
       [0.16726524, 0.95538107, 0.35642324],
       [0.66813615, 0.41597569, 0.20446329]]),  ([[0.80815122, 0.55517609, 0.21642493],
       [0.88277178, 0.06256917, 0.83987512],
       [0.03921139, 0.56468923, 0.22330463]]))","[( ([0.14810548, 0.30481582, 0.5470787 ]),  ([0.24203138, 0.01560377, 0.74236485]))]"
472,"( ([[0.04831864, 0.00915197, 0.14543073],
       [0.90076158, 0.48852449, 0.13817335],
       [0.41170331, 0.30194366, 0.45241682]]),  ([[0.80950549, 0.36053977, 0.60030524],
       [0.50539098, 0.12973029, 0.35595796],
       [0.8674755 , 0.41717241, 0.10783462]]))","[( ([0., 1., 0.]),  ([1., 0., 0.]))]"
473,"( ([[0.53070778, 0.40246381, 0.73277085],
       [0.65291336, 0.45388321, 0.28263683],
       [0.59363982, 0.68581741, 0.14832857]]),  ([[0.85557898, 0.92196237, 0.12126492],
       [0.35376736, 0.63363787, 0.38244038],
       [0.98160001, 0.66704898, 0.80476473]]))","[( ([0.        , 0.52917166, 0.47082834]),  ([0.79645616, 0.20354384, 0.        ]))]"
474,"( ([[0.29696563, 0.07830808, 0.39628316],
       [0.68014763, 0.75197606, 0.84567998],
       [0.47189451, 0.30596082, 0.32245114]]),  ([[0.74710242, 0.64049343, 0.79900958],
       [0.22486608, 0.92469547, 0.80149938],
       [0.08085489, 0.58251023, 0.14591896]]))","[( ([0., 1., 0.]),  ([0., 1., 0.]))]"
475,"( ([[0.0935574 , 0.2750403 , 0.57353531],
       [0.34595937, 0.13236139, 0.02131916],
       [0.44096393, 0.86581577, 0.9138045 ]]),  ([[0.46475728, 0.55154352, 0.38680347],
       [0.02442919, 0.25172229, 0.93771584],
       [0.26840334, 0.32300861, 0.71160858]]))","[( ([0., 0., 1.]),  ([0., 0., 1.]))]"
476,"( ([[0.37513924, 0.74420734, 0.31052478],
       [0.5295462 , 0.97704834, 0.85276696],
       [0.06916711, 0.14330091, 0.21634018]]),  ([[0.54989929, 0.90724592, 0.34899578],
       [0.32285996, 0.27541924, 0.68050253],
       [0.46132663, 0.00743184, 0.33380895]]))","[( ([0., 1., 0.]),  ([0., 0., 1.]))]"
477,"( ([[0.01509459, 0.7279782 , 0.90915559],
       [0.90378615, 0.41322412, 0.00377635],
       [0.10348552, 0.51343559, 0.41253356]]),  ([[0.07703073, 0.08308967, 0.92918777],
       [0.10249422, 0.99967885, 0.34783659],
       [0.82297301, 0.02118637, 0.01866664]]))","[( ([1., 0., 0.]),  ([0., 0., 1.]))]"
478,"( ([[0.36843106, 0.41558192, 0.87224568],
       [0.9946409 , 0.29248251, 0.64491345],
       [0.47211513, 0.99697589, 0.53865708]]),  ([[0.76008758, 0.6883758 , 0.05726298],
       [0.19513544, 0.10798443, 0.60690787],
       [0.41687635, 0.64708619, 0.27169896]]))","[( ([0., 0., 1.]),  ([0., 1., 0.])), ( ([0.36943614, 0.63056386, 0.        ]),  ([0.26633981, 0.        , 0.73366019])), ( ([0.23800181, 0.49896495, 0.26303323]),  ([0.23556518, 0.25200741, 0.51242741]))]"
479,"( ([[0.06865931, 0.66611436, 0.35652108],
       [0.53128028, 0.30311593, 0.56109558],
       [0.89261114, 0.60207669, 0.40074698]]),  ([[0.99384267, 0.75388768, 0.36226484],
       [0.80838197, 0.86139459, 0.26442789],
       [0.65485401, 0.57987699, 0.48221388]]))","[( ([0., 0., 1.]),  ([1., 0., 0.]))]"
480,"( ([[0.43190796, 0.23385329, 0.3821946 ],
       [0.80006773, 0.27077041, 0.71863352],
       [0.22586004, 0.99531495, 0.51105186]]),  ([[0.79997163, 0.93366985, 0.96919485],
       [0.33048961, 0.12774394, 0.71432369],
       [0.77830282, 0.09432772, 0.21024776]]))","[( ([0., 1., 0.]),  ([0., 0., 1.]))]"
481,"( ([[0.97328638, 0.44307155, 0.31727623],
       [0.91132198, 0.88558056, 0.70744112],
       [0.74961384, 0.87756489, 0.81607027]]),  ([[0.18000777, 0.44018167, 0.68593815],
       [0.74974267, 0.17052904, 0.03848443],
       [0.53571196, 0.47262349, 0.95399792]]))","[( ([0., 0., 1.]),  ([0., 0., 1.])), ( ([0.58434513, 0.41565487, 0.        ]),  ([0.86294982, 0.        , 0.13705018])), ( ([0.        , 0.37031394, 0.62968606]),  ([0.40182822, 0.        , 0.59817178]))]"
482,"( ([[0.7120994 , 0.02428656, 0.80239958],
       [0.32024354, 0.91816054, 0.84729673],
       [0.02238143, 0.41908811, 0.01260047]]),  ([[0.30717706, 0.15815157, 0.43738591],
       [0.43509745, 0.61304888, 0.33544371],
       [0.47469676, 0.48583435, 0.27014909]]))","[( ([0., 1., 0.]),  ([0., 1., 0.]))]"
483,"( ([[0.80152168, 0.50257378, 0.84457742],
       [0.75824548, 0.75166878, 0.30012168],
       [0.50271456, 0.52506485, 0.19486714]]),  ([[0.86013333, 0.04185344, 0.35960648],
       [0.1983827 , 0.29600865, 0.66529058],
       [0.22026457, 0.23658872, 0.49681312]]))","[( ([1., 0., 0.]),  ([1., 0., 0.]))]"
484,"( ([[0.0012419 , 0.91469118, 0.4393506 ],
       [0.80839728, 0.05380566, 0.27685209],
       [0.13045   , 0.03767267, 0.50390444]]),  ([[0.89082965, 0.09321009, 0.46876666],
       [0.9373043 , 0.18262834, 0.4676386 ],
       [0.74060013, 0.33481006, 0.82272453]]))","[( ([0., 1., 0.]),  ([1., 0., 0.])), ( ([0., 0., 1.]),  ([0., 0., 1.])), ( ([0.        , 0.14883268, 0.85116732]),  ([0.25088667, 0.        , 0.74911333]))]"
485,"( ([[0.30479868, 0.83008067, 0.45290821],
       [0.42308052, 0.47181357, 0.27661203],
       [0.50913886, 0.82105269, 0.29621783]]),  ([[0.20100124, 0.7573093 , 0.01080879],
       [0.92670576, 0.3698058 , 0.47461913],
       [0.84651832, 0.53987294, 0.87248531]]))","[( ([1., 0., 0.]),  ([0., 1., 0.])), ( ([0.35534406, 0.        , 0.64465594]),  ([0.04231173, 0.95768827, 0.        ])), ( ([0.12012888, 0.        , 0.87987112]),  ([0.43400864, 0.        , 0.56599136]))]"
486,"( ([[0.41957521, 0.45104791, 0.35034349],
       [0.10632447, 0.0406921 , 0.38407577],
       [0.58468721, 0.50205409, 0.59257738]]),  ([[0.05557652, 0.2784735 , 0.85600278],
       [0.47681596, 0.28993184, 0.95517121],
       [0.35481168, 0.7558712 , 0.37157555]]))","[( ([0., 0., 1.]),  ([0., 1., 0.]))]"
487,"( ([[0.41943427, 0.76042886, 0.18428481],
       [0.22888279, 0.83387208, 0.09930809],
       [0.34797522, 0.14305111, 0.07088539]]),  ([[0.96560423, 0.95266695, 0.78040751],
       [0.91149984, 0.83077034, 0.43375931],
       [0.32426424, 0.12129155, 0.71176073]]))","[( ([1., 0., 0.]),  ([1., 0., 0.]))]"
488,"( ([[0.60699   , 0.44506534, 0.09153932],
       [0.99308983, 0.21716369, 0.94792487],
       [0.96825656, 0.27375218, 0.63635773]]),  ([[0.03801795, 0.11962761, 0.6247082 ],
       [0.85290785, 0.58179046, 0.26217289],
       [0.51545171, 0.6925395 , 0.27964357]]))","[( ([0., 1., 0.]),  ([1., 0., 0.])), ( ([0.       , 0.3951043, 0.6048957]),  ([0.69500451, 0.30499549, 0.        ])), ( ([0.41870472, 0.30591045, 0.27538483]),  ([0.16365072, 0.71883441, 0.11751487]))]"
489,"( ([[0.81930078, 0.41453712, 0.14459205],
       [0.4669859 , 0.33707476, 0.88201118],
       [0.54338131, 0.11366434, 0.21543981]]),  ([[0.0678539 , 0.90947638, 0.02382014],
       [0.35764572, 0.11667044, 0.84085039],
       [0.51327161, 0.19281986, 0.03369416]]))","[( ([1., 0., 0.]),  ([0., 1., 0.])), ( ([0., 1., 0.]),  ([0., 0., 1.])), ( ([0.44984698, 0.55015302, 0.        ]),  ([0.        , 0.90494034, 0.09505966]))]"
490,"( ([[0.66743664, 0.32817491, 0.15949234],
       [0.64539657, 0.90378697, 0.50690939],
       [0.84604107, 0.81333399, 0.47919522]]),  ([[0.68977777, 0.3632479 , 0.00463941],
       [0.80734393, 0.3991047 , 0.09426576],
       [0.37185962, 0.9818988 , 0.00351593]]))","[( ([0.        , 0.59908879, 0.40091121]),  ([0.3107309, 0.6892691, 0.       ]))]"
491,"( ([[0.46161899, 0.24029596, 0.51550096],
       [0.3511233 , 0.13120135, 0.294941  ],
       [0.52901458, 0.40759242, 0.49921268]]),  ([[0.09941198, 0.688271  , 0.57466908],
       [0.34035349, 0.32865624, 0.57209892],
       [0.4647211 , 0.0237842 , 0.02552986]]))","[( ([0., 0., 1.]),  ([1., 0., 0.]))]"
492,"( ([[0.47681765, 0.77514344, 0.17313798],
       [0.19932511, 0.09118559, 0.23428156],
       [0.40134407, 0.74559345, 0.28457549]]),  ([[0.56726052, 0.78262395, 0.3016899 ],
       [0.80122464, 0.16374003, 0.42499534],
       [0.26884693, 0.73273155, 0.92854662]]))","[( ([1., 0., 0.]),  ([0., 1., 0.])), ( ([0., 0., 1.]),  ([0., 0., 1.])), ( ([0.28934662, 0.        , 0.71065338]),  ([0.        , 0.79040698, 0.20959302]))]"
493,"( ([[0.98335194, 0.22494146, 0.73534121],
       [0.34530962, 0.12590808, 0.42969595],
       [0.56921814, 0.27794929, 0.77516869]]),  ([[0.9935935 , 0.64986914, 0.33115207],
       [0.14576241, 0.63404776, 0.32810041],
       [0.24452501, 0.56838696, 0.70894759]]))","[( ([1., 0., 0.]),  ([1., 0., 0.])), ( ([0., 0., 1.]),  ([0., 0., 1.])), ( ([0.48512371, 0.        , 0.51487629]),  ([0.11347272, 0.88652728, 0.        ]))]"
494,"( ([[0.56271804, 0.60650195, 0.48083816],
       [0.71296086, 0.68586342, 0.65956287],
       [0.33076039, 0.33861616, 0.58165911]]),  ([[0.34373773, 0.33640217, 0.15265144],
       [0.86430942, 0.08850857, 0.97872145],
       [0.84631369, 0.92475115, 0.92814183]]))","[( ([0., 1., 0.]),  ([0., 0., 1.]))]"
495,"( ([[0.33035345, 0.99643151, 0.73947895],
       [0.62885974, 0.94672808, 0.89893082],
       [0.85861438, 0.98188557, 0.25048888]]),  ([[0.04894186, 0.42691695, 0.01151594],
       [0.4677452 , 0.03568752, 0.88472125],
       [0.7922787 , 0.19667686, 0.0529381 ]]))","[( ([1., 0., 0.]),  ([0., 1., 0.])), ( ([0., 1., 0.]),  ([0., 0., 1.])), ( ([0., 0., 1.]),  ([1., 0., 0.])), ( ([0.67147295, 0.32852705, 0.        ]),  ([0.        , 0.76236113, 0.23763887])), ( ([0.61176659, 0.        , 0.38823341]),  ([0.02679764, 0.97320236, 0.        ])), ( ([0.        , 0.63939285, 0.36060715]),  ([0.73837903, 0.        , 0.26162097])), ( ([0.56162888, 0.29846932, 0.1399018 ]),  ([0.09551606, 0.82586386, 0.07862008]))]"
496,"( ([[0.16620696, 0.56994666, 0.30228331],
       [0.17792579, 0.35686999, 0.90147608],
       [0.1589063 , 0.26376054, 0.46072773]]),  ([[0.92828388, 0.22150418, 0.39108928],
       [0.4186993 , 0.61651937, 0.10659173],
       [0.83184331, 0.65018754, 0.22766605]]))","[( ([0.21868242, 0.78131758, 0.        ]),  ([0.94786896, 0.05213104, 0.        ]))]"
497,"( ([[0.38547097, 0.72014603, 0.07488053],
       [0.21772668, 0.66899133, 0.95640201],
       [0.39483723, 0.13797244, 0.20433343]]),  ([[0.61376107, 0.27206214, 0.33526757],
       [0.82909243, 0.89346693, 0.87479205],
       [0.02870305, 0.82715709, 0.78846563]]))","[( ([0.23895076, 0.71656216, 0.04448707]),  ([0.79815609, 0.04722284, 0.15462107]))]"
498,"( ([[0.72076436, 0.85112046, 0.9007551 ],
       [0.56782258, 0.21667712, 0.94510985],
       [0.08573888, 0.00204349, 0.47665752]]),  ([[0.09802485, 0.59886097, 0.68161573],
       [0.69371357, 0.4843194 , 0.45789386],
       [0.51780055, 0.66727175, 0.74446426]]))","[( ([0.28779187, 0.71220813, 0.        ]),  ([0.22481263, 0.        , 0.77518737]))]"
499,"( ([[0.85756324, 0.31991193, 0.37199501],
       [0.61137726, 0.29239948, 0.84957575],
       [0.27245001, 0.79097348, 0.68556708]]),  ([[0.23681396, 0.75711511, 0.15146935],
       [0.7322089 , 0.97123272, 0.38686059],
       [0.04955568, 0.85362934, 0.973327  ]]))","[( ([0.        , 0.17000823, 0.82999177]),  ([0.        , 0.24752938, 0.75247062]))]"
500,"( ([[0.33222972, 0.56732847, 0.01981422],
       [0.2025926 , 0.49392537, 0.86271673],
       [0.30342278, 0.72527048, 0.67183197]]),  ([[0.72976613, 0.7934832 , 0.07972455],
       [0.96993182, 0.805169  , 0.10799952],
       [0.46930077, 0.11334441, 0.04408186]]))","[( ([0.84817464, 0.        , 0.15182536]),  ([0.84574511, 0.15425489, 0.        ]))]"
501,"( ([[0.63169876, 0.48987007, 0.66201947],
       [0.00677732, 0.44006025, 0.76957318],
       [0.74048048, 0.98878597, 0.87752668]]),  ([[0.18339007, 0.33745725, 0.04586626],
       [0.3263438 , 0.19272694, 0.28284161],
       [0.15774223, 0.7756502 , 0.96086967]]))","[( ([0., 0., 1.]),  ([0., 0., 1.]))]"
502,"( ([[0.53818202, 0.02012835, 0.96715665],
       [0.53865278, 0.15490099, 0.94753619],
       [0.98143814, 0.3559218 , 0.38256964]]),  ([[0.20357432, 0.99781966, 0.59324226],
       [0.44066207, 0.78954357, 0.4821775 ],
       [0.09783215, 0.67480807, 0.1552389 ]]))","[( ([0., 0., 1.]),  ([0., 1., 0.]))]"
503,"( ([[0.69832784, 0.90754431, 0.66500183],
       [0.70545775, 0.07571252, 0.3857619 ],
       [0.79969226, 0.20836541, 0.20447699]]),  ([[0.58927892, 0.09120128, 0.46614652],
       [0.78671574, 0.06738304, 0.3146183 ],
       [0.1050572 , 0.49711578, 0.0940053 ]]))","[( ([0.44044784, 0.        , 0.55955216]),  ([0.87338047, 0.12661953, 0.        ]))]"
504,"( ([[0.19921245, 0.00558725, 0.0852456 ],
       [0.6548219 , 0.90479519, 0.87230298],
       [0.97839256, 0.58105176, 0.49776469]]),  ([[0.33484796, 0.25138406, 0.11655273],
       [0.00540644, 0.84698489, 0.69310143],
       [0.67101708, 0.81487401, 0.23649011]]))","[( ([0., 1., 0.]),  ([0., 1., 0.]))]"
505,"( ([[0.17155931, 0.65205416, 0.43597391],
       [0.26576525, 0.39364193, 0.8073034 ],
       [0.0123468 , 0.98244035, 0.76182543]]),  ([[0.71500349, 0.55252466, 0.94189098],
       [0.52098522, 0.24970756, 0.64708957],
       [0.24022961, 0.74961264, 0.29150195]]))","[( ([0., 1., 0.]),  ([0., 0., 1.])), ( ([0., 0., 1.]),  ([0., 1., 0.])), ( ([0.       , 0.5354934, 0.4645066]),  ([0.        , 0.07170056, 0.92829944]))]"
506,"( ([[0.96881203, 0.07189521, 0.11952403],
       [0.03623496, 0.00776394, 0.91937303],
       [0.64784251, 0.60517544, 0.36468285]]),  ([[0.70322478, 0.27492029, 0.22157698],
       [0.60269228, 0.22432099, 0.47176258],
       [0.02870514, 0.22274209, 0.0769689 ]]))","[( ([1., 0., 0.]),  ([1., 0., 0.])), ( ([0., 0., 1.]),  ([0., 1., 0.])), ( ([0.31178536, 0.        , 0.68821464]),  ([0.62426735, 0.37573265, 0.        ]))]"
507,"( ([[0.0966346 , 0.38652435, 0.26440864],
       [0.37424018, 0.17746153, 0.09273556],
       [0.42190376, 0.60127834, 0.4689795 ]]),  ([[0.19424351, 0.36403302, 0.22175283],
       [0.32997067, 0.05743365, 0.99150296],
       [0.8693954 , 0.51766807, 0.05518719]]))","[( ([0., 0., 1.]),  ([1., 0., 0.]))]"
508,"( ([[0.11148131, 0.44872159, 0.73888135],
       [0.54226949, 0.9777003 , 0.04111443],
       [0.39756499, 0.62201189, 0.97805177]]),  ([[0.94163497, 0.49275268, 0.66566254],
       [0.92364879, 0.12572604, 0.8578054 ],
       [0.96920052, 0.09596274, 0.20899623]]))","[( ([0., 1., 0.]),  ([1., 0., 0.]))]"
509,"( ([[0.68492406, 0.23878123, 0.37241178],
       [0.69070077, 0.15418675, 0.70513863],
       [0.42876305, 0.51498229, 0.13270798]]),  ([[0.08915486, 0.60489011, 0.40999559],
       [0.36512913, 0.84400055, 0.3386804 ],
       [0.65257413, 0.43659107, 0.0661099 ]]))","[( ([0.29517241, 0.        , 0.70482759]),  ([0.51882182, 0.48117818, 0.        ]))]"
510,"( ([[0.18790287, 0.35992379, 0.45049294],
       [0.03447927, 0.73322742, 0.09026944],
       [0.3807089 , 0.57648912, 0.36193622]]),  ([[0.1169712 , 0.89782142, 0.63250023],
       [0.29283761, 0.90183677, 0.70239671],
       [0.25112668, 0.90024665, 0.68429082]]))","[( ([0., 1., 0.]),  ([0., 1., 0.]))]"
511,"( ([[0.69803256, 0.99550427, 0.97053911],
       [0.6126158 , 0.89128013, 0.77436244],
       [0.28798517, 0.11499169, 0.07661153]]),  ([[0.4178868 , 0.04908227, 0.11010739],
       [0.11640305, 0.83441036, 0.10873741],
       [0.32060475, 0.58266948, 0.03469615]]))","[( ([1., 0., 0.]),  ([1., 0., 0.]))]"
512,"( ([[0.64800764, 0.89327205, 0.46407831],
       [0.91130908, 0.18166657, 0.18550757],
       [0.0609166 , 0.52539183, 0.76440913]]),  ([[0.59692302, 0.79155164, 0.3017482 ],
       [0.51181116, 0.86232733, 0.61938488],
       [0.74202749, 0.61396536, 0.15819753]]))","[( ([1., 0., 0.]),  ([0., 1., 0.]))]"
513,"( ([[0.58221285, 0.82877171, 0.62488368],
       [0.42131816, 0.0167917 , 0.9621531 ],
       [0.10396961, 0.75680382, 0.20864567]]),  ([[0.23620972, 0.1182475 , 0.40612941],
       [0.73664967, 0.0187854 , 0.58962447],
       [0.54143884, 0.88476581, 0.88753725]]))","[( ([0.46388254, 0.53611746, 0.        ]),  ([0.67702473, 0.        , 0.32297527]))]"
514,"( ([[0.1797219 , 0.87425284, 0.28917896],
       [0.84002407, 0.33404739, 0.7082234 ],
       [0.9494971 , 0.55729676, 0.07339059]]),  ([[0.97364337, 0.32678419, 0.40196019],
       [0.13611689, 0.54625135, 0.25226677],
       [0.08221542, 0.25121785, 0.15675135]]))","[( ([ 0.20714595, -0.        ,  0.79285405]),  ([0.29166003, 0.70833997, 0.        ]))]"
515,"( ([[0.46518373, 0.13621555, 0.20289394],
       [0.22907775, 0.72793529, 0.44245236],
       [0.52762491, 0.92715332, 0.31768998]]),  ([[1.32644380e-01, 9.56079594e-01, 5.68844475e-01],
       [6.61255797e-01, 8.82455552e-01, 6.34112469e-04],
       [4.43820010e-01, 9.79214117e-01, 1.16748748e-01]]))","[( ([0., 0., 1.]),  ([0., 1., 0.]))]"
516,"( ([[0.47933161, 0.52573832, 0.84798441],
       [0.26287139, 0.34747867, 0.82004506],
       [0.64636721, 0.81606562, 0.79690752]]),  ([[0.29095253, 0.90370747, 0.64414063],
       [0.63740401, 0.94076192, 0.9043765 ],
       [0.77420838, 0.92973602, 0.4071805 ]]))","[( ([0., 0., 1.]),  ([0., 1., 0.]))]"
517,"( ([[0.80299034, 0.57254211, 0.95199198],
       [0.48482314, 0.32319302, 0.86201238],
       [0.1663215 , 0.0084892 , 0.18536009]]),  ([[0.27700102, 0.85224828, 0.50519367],
       [0.05592427, 0.97305814, 0.24988748],
       [0.19584215, 0.96986543, 0.69985779]]))","[( ([1., 0., 0.]),  ([0., 1., 0.]))]"
518,"( ([[0.73411221, 0.25865797, 0.9153558 ],
       [0.36855463, 0.16721186, 0.3234366 ],
       [0.96724654, 0.05685809, 0.12367555]]),  ([[0.67218843, 0.65170503, 0.21040607],
       [0.02822744, 0.18517234, 0.88071981],
       [0.12690117, 0.51417779, 0.26142115]]))","[( ([0.94976606, 0.        , 0.05023394]),  ([0.46397793, 0.53602207, 0.        ]))]"
519,"( ([[0.55676534, 0.33122863, 0.07155943],
       [0.33749781, 0.24868806, 0.94301229],
       [0.21791388, 0.82249893, 0.36798643]]),  ([[0.01256508, 0.42404885, 0.97008441],
       [0.99376116, 0.1949368 , 0.71495094],
       [0.98289281, 0.13665031, 0.79948737]]))","[( ([0.22551448, 0.77448552, 0.        ]),  ([0.79896999, 0.        , 0.20103001]))]"
520,"( ([[0.03240436, 0.36866626, 0.98190239],
       [0.16831328, 0.64012419, 0.49390574],
       [0.77606571, 0.62778598, 0.09035948]]),  ([[0.25744778, 0.28068481, 0.87996986],
       [0.65485716, 0.11577835, 0.08010257],
       [0.09352245, 0.50249048, 0.97247674]]))","[( ([1., 0., 0.]),  ([0., 0., 1.]))]"
521,"( ([[0.59791234, 0.76316464, 0.63787356],
       [0.97874354, 0.09927512, 0.59357592],
       [0.90595343, 0.02047035, 0.54917498]]),  ([[0.29722523, 0.22048787, 0.75082698],
       [0.25223595, 0.7846916 , 0.99103225],
       [0.35715703, 0.29338096, 0.76495648]]))","[( ([1., 0., 0.]),  ([0., 0., 1.]))]"
522,"( ([[0.67905503, 0.35849901, 0.17230106],
       [0.70112481, 0.89021545, 0.33327614],
       [0.13824857, 0.96913544, 0.25306061]]),  ([[0.42244447, 0.97176068, 0.76363349],
       [0.72308684, 0.5621855 , 0.48015162],
       [0.59827052, 0.44639955, 0.36991938]]))","[( ([0., 1., 0.]),  ([1., 0., 0.]))]"
523,"( ([[0.72463419, 0.56409399, 0.70043657],
       [0.63989613, 0.20083799, 0.31498972],
       [0.71218887, 0.45258074, 0.31004991]]),  ([[0.06691181, 0.59080302, 0.26993976],
       [0.47527174, 0.79402519, 0.21991818],
       [0.80656124, 0.25984509, 0.11178017]]))","[( ([1., 0., 0.]),  ([0., 1., 0.]))]"
524,"( ([[0.8840249 , 0.48872153, 0.21199928],
       [0.54013968, 0.74235251, 0.15987751],
       [0.71473889, 0.27837476, 0.18935513]]),  ([[0.9849237 , 0.98008291, 0.79405598],
       [0.81859418, 0.80145142, 0.24453155],
       [0.10538266, 0.97445921, 0.34190608]]))","[( ([1., 0., 0.]),  ([1., 0., 0.]))]"
525,"( ([[0.39067523, 0.04876358, 0.18586778],
       [0.06341035, 0.18042798, 0.22790751],
       [0.95369886, 0.76079085, 0.98137367]]),  ([[0.58452506, 0.2164522 , 0.70787963],
       [0.06528281, 0.28251507, 0.51489247],
       [0.19361827, 0.94441969, 0.41254469]]))","[( ([0., 0., 1.]),  ([0., 1., 0.]))]"
526,"( ([[0.35738702, 0.88749538, 0.68339634],
       [0.94093941, 0.45309647, 0.92423254],
       [0.61372096, 0.6080585 , 0.62455503]]),  ([[0.24599154, 0.57204431, 0.85035103],
       [0.51057008, 0.35384496, 0.97526419],
       [0.3026365 , 0.98587918, 0.10593473]]))","[( ([0., 1., 0.]),  ([0., 0., 1.]))]"
527,"( ([[0.48531659, 0.16440286, 0.3159163 ],
       [0.35479254, 0.85481356, 0.93788355],
       [0.83039861, 0.14570017, 0.27169222]]),  ([[0.99967439, 0.37106811, 0.99297786],
       [0.37245104, 0.33127312, 0.14584373],
       [0.32956976, 0.72851717, 0.42210085]]))","[( ([0.        , 0.90644047, 0.09355953]),  ([0.59854963, 0.40145037, 0.        ]))]"
528,"( ([[0.74692196, 0.62460472, 0.25110851],
       [0.58979591, 0.16857042, 0.14703055],
       [0.98214214, 0.46654591, 0.11161019]]),  ([[0.58721542, 0.41308376, 0.50165234],
       [0.05860141, 0.54169904, 0.09112464],
       [0.25035311, 0.69716997, 0.60745977]]))","[( ([0.80671125, 0.        , 0.19328875]),  ([0.37227498, 0.        , 0.62772502]))]"
